domain_name,row_count,null_percentage,duplicate_percentage,freshness_hours,schema_change_flag,timestamp
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-21 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-22 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-23 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-24 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-25 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-26 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-27 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-28 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-29 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-04-30 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-05-01 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-05-02 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-05-03 11:13:45
Interaction_domain,2856,0.0,0.0,11.229192,0.0,2026-05-04 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-21 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-22 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-23 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-24 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-25 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-26 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-27 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-28 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-29 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-04-30 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-05-01 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-05-02 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-05-03 11:13:45
engagement_domain,222,0.0,0.0,0.0,0.0,2026-05-04 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-21 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-22 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-23 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-24 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-25 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-26 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-27 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-28 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-29 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-04-30 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-05-01 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-05-02 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-05-03 11:13:45
product_domain,15,0.0,0.0,11.229193,0.0,2026-05-04 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-21 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-22 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-23 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-24 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-25 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-26 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-27 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-28 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-29 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-04-30 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-05-01 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-05-02 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-05-03 11:13:45
sales_domain,8008,0.0,0.0,11.2292,0.0,2026-05-04 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-21 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-22 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-23 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-24 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-25 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-26 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-27 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-28 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-29 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-04-30 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-05-01 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-05-02 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-05-03 11:13:45
shop_domain,24,0.0,0.0,0.0,0.0,2026-05-04 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-21 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-22 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-23 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-24 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-25 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-26 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-27 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-28 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-29 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-04-30 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-05-01 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-05-02 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-05-03 11:13:45
user_preferences_domain,471,0.0,0.0,0.0,0.0,2026-05-04 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-21 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-22 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-23 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-24 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-25 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-26 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-27 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-28 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-29 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-04-30 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-05-01 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-05-02 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-05-03 11:13:45
users_domain,508,0.0,0.0,11.229203,0.0,2026-05-04 11:13:45
