deviceId,rideId,timestamp,temperature,coldTemperature,humidity,rainValue,rainValue2,rainStatus,rainStatus2,magnetDetected,pitch,roll,tiltAngle,tiltStatus,waterDetected,tiltDetected,tempHigh,tempLow,temperatureStatus,deliveryStatus,tilt_rate,tilt_accel,tilt_risk_score,label
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:00,30.8,30.3,90.5,4095,4095,Dry,Dry,False,4.522,3.524,4.537,Normal,False,False,False,False,Normal,IDLE,0.0,0.5597118057809187,0.45373593422238284,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:02,30.35,29.85,90.79,4095,4095,Dry,Dry,False,4.633,5.025,5.23,Normal,False,False,False,False,Normal,IDLE,-0.35739317677851684,0.7621208164276031,0.6301781123320668,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:04,30.36,29.86,89.84,4095,4095,Dry,Dry,False,5.61,6.545,5.217,Normal,False,False,False,False,Normal,IDLE,0.2107888321841681,0.820885558007038,0.5849858314891816,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:06,30.89,30.39,88.82,3000,3000,Wet,Wet,False,2.899,3.153,3.837,Normal,False,False,False,False,Normal,IDLE,0.5090440866761362,-0.4533603342899649,0.5363976074117017,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:08,30.86,30.36,88.77,4095,4095,Dry,Dry,False,5.187,5.198,4.581,Normal,False,False,False,False,Normal,IDLE,-1.2593242295552438,0.3189764716124449,0.8358895618272505,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:10,30.91,30.41,89.05,4095,4095,Dry,Dry,False,5.351,5.219,5.276,Normal,False,False,False,False,Normal,IDLE,2.1068225764896993,-0.5125454444054324,1.0,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:12,31.36,30.86,91.29,4095,4095,Dry,Dry,False,5.455,6.635,6.188,Normal,False,False,False,False,Normal,IDLE,-0.08420570720094356,-0.47767322235885235,0.6440981232159526,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:14,30.9,30.4,89.34,4095,4095,Dry,Dry,False,4.096,3.015,3.671,Normal,False,False,False,False,Normal,IDLE,-0.6962439636488592,-0.2533216098157619,0.5759643545680265,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:16,30.95,30.45,89.0,4095,4095,Dry,Dry,False,2.872,4.549,3.917,Normal,False,False,False,False,Normal,IDLE,-0.012386672009423092,-0.013688222792579313,0.3954561826083008,Safe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:18,30.81,30.31,89.6,4095,4095,Dry,Dry,False,5.75,4.418,5.131,Normal,False,False,False,False,Normal,IDLE,0.2704181271001132,0.9872855984767431,0.5942405536515531,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:20,30.73,30.23,88.34,3000,3000,Wet,Wet,False,4.098,3.909,3.919,Normal,False,False,False,False,Normal,IDLE,0.9744403502052084,-0.194729012151741,0.6842784263956845,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:22,30.7,30.2,89.25,1500,1500,Wet,Wet,False,6.419,6.278,5.975,Normal,False,False,False,False,Normal,IDLE,-0.5762383942870505,-0.1349668845378454,0.7703643838757419,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:24,30.7,30.2,90.83,1500,1500,Wet,Wet,False,6.93,6.192,5.994,Normal,False,False,False,False,Normal,IDLE,-0.5004930361863454,-0.2612307397662914,0.7495660569976141,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:26,30.83,30.33,89.52,3000,3000,Wet,Wet,False,5.391,5.219,4.983,Normal,False,False,False,False,Normal,IDLE,-0.2283914407890642,0.532646234422975,0.5668234683502276,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:28,31.21,30.71,90.23,1500,1500,Wet,Wet,False,4.251,4.196,4.743,Normal,False,False,False,False,Normal,IDLE,-2.3035655147779006,-0.4015888325063238,1.0,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:30,30.56,30.06,89.2,4095,4095,Dry,Dry,False,2.75,3.782,3.229,Normal,False,False,False,False,Normal,IDLE,0.5073922370114319,1.53054760718913,0.4751676248250628,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:32,30.7,30.2,90.58,4095,4095,Dry,Dry,False,5.38,4.058,4.73,Normal,False,False,False,False,Normal,IDLE,0.6800964656990859,0.19716997573241488,0.6770036466258225,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:34,30.8,30.3,87.88,4095,4095,Dry,Dry,False,4.892,3.617,4.589,Normal,False,False,False,False,Normal,IDLE,0.26911901102900193,0.025314905457583154,0.5396630310870866,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:36,30.43,29.93,87.35,4095,4095,Dry,Dry,False,3.783,5.051,4.356,Normal,False,False,False,False,Normal,IDLE,-0.6841924151038487,-0.5135308794677985,0.6409003663758905,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:38,30.46,29.96,87.86,4095,4095,Dry,Dry,False,5.798,4.752,5.47,Normal,False,False,False,False,Normal,IDLE,-0.9466124971635352,0.24749782709584747,0.8309902809804172,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:40,30.55,30.05,91.55,4095,4095,Dry,Dry,False,3.793,3.789,3.718,Normal,False,False,False,False,Normal,IDLE,0.2835356680957299,-0.9401562942262782,0.45687383294328676,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:42,30.63,30.13,89.29,4095,4095,Dry,Dry,False,2.89,2.7,2.944,Normal,False,False,False,False,Normal,IDLE,1.2743854354075719,-0.21697079950502585,0.6766714380313199,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:44,30.44,29.94,89.3,4095,4095,Dry,Dry,False,4.428,5.031,5.202,Normal,False,False,False,False,Normal,IDLE,0.1470844115276467,0.28894856754941733,0.5643718867767029,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:46,30.54,30.04,89.75,4095,4095,Dry,Dry,False,3.605,3.367,3.775,Normal,False,False,False,False,Normal,IDLE,0.5592739054879913,0.29994831685550294,0.5452533556318319,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:48,30.72,30.22,89.67,3000,3000,Wet,Wet,False,6.437,6.722,5.95,Normal,False,False,False,False,Normal,IDLE,0.2752545051216179,0.4631162714425169,0.6775994776900237,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:50,30.74,30.24,90.15,4095,4095,Dry,Dry,False,5.802,6.082,5.552,Normal,False,False,False,False,Normal,IDLE,-0.535179861853348,-0.43404211270224374,0.7157078572181886,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:52,30.55,30.05,90.89,4095,4095,Dry,Dry,False,2.255,3.459,2.818,Normal,False,False,False,False,Normal,IDLE,-0.02273716607925347,-0.8582122229719858,0.2886110962815661,Safe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:54,30.65,30.15,87.45,4095,4095,Dry,Dry,False,7.718,7.176,6.912,Normal,False,False,False,False,Normal,IDLE,-0.2942102261224215,-0.2738617414796644,0.7794965659277574,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:56,30.79,30.29,90.81,4095,4095,Dry,Dry,False,6.299,4.856,5.983,Normal,False,False,False,False,Normal,IDLE,-1.9652745166187158,-0.03826603067577323,1.0,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:00:58,30.97,30.47,89.77,4095,4095,Dry,Dry,False,4.768,5.188,5.195,Normal,False,False,False,False,Normal,IDLE,0.16152595344223641,-0.402368342537748,0.5679617620916333,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:00,30.8,30.3,89.75,4095,4095,Dry,Dry,False,4.34,4.868,5.06,Normal,False,False,False,False,Normal,IDLE,0.7089615729035005,-0.11685158965700253,0.7186950037404694,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:02,30.24,29.74,89.95,3000,3000,Wet,Wet,False,5.22,4.079,4.556,Normal,False,False,False,False,Normal,IDLE,-1.8716772509147188,-0.17576839931022498,1.0,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:04,30.11,29.61,89.09,4095,4095,Dry,Dry,False,3.017,2.975,2.591,Normal,False,False,False,False,Normal,IDLE,0.4437542353789029,0.3665866823721761,0.3922467787518319,Safe
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:06,29.94,29.44,89.72,4095,4095,Dry,Dry,False,2.561,3.808,3.509,Normal,False,False,False,False,Normal,IDLE,-0.1344566313644241,0.14258766232482678,0.39123199876106546,Safe
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:08,30.51,30.01,88.77,4095,4095,Dry,Dry,False,7.113,6.884,7.184,Normal,False,False,False,False,Normal,IDLE,-0.24654236261982965,-0.36871473323839127,0.7923789665560823,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:10,30.51,30.01,88.87,4095,4095,Dry,Dry,False,2.45,2.673,2.698,Normal,False,False,False,False,Normal,IDLE,-0.516257767357989,-0.8003055045138169,0.42465633709909845,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:12,30.87,30.37,90.44,3000,3000,Wet,Wet,False,4.931,5.379,4.86,Normal,False,False,False,False,Normal,IDLE,-0.24779448278608426,-0.5849085160855046,0.5603680119089347,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:14,31.11,30.61,89.92,4095,4095,Dry,Dry,False,6.646,7.431,6.475,Normal,False,False,False,False,Normal,IDLE,0.25563006309497177,0.09663903092469292,0.7241643598213173,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:16,31.08,30.58,88.92,4095,4095,Dry,Dry,False,3.291,3.392,3.727,Normal,False,False,False,False,Normal,IDLE,0.26875899428332856,0.24720464362491443,0.45335604006420205,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:18,30.55,30.05,90.94,4095,4095,Dry,Dry,False,4.305,5.856,4.586,Normal,False,False,False,False,Normal,IDLE,1.1174348630161943,-0.19495519550488905,0.7938643753470127,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:20,30.92,30.42,89.72,4095,4095,Dry,Dry,False,4.781,5.274,5.216,Normal,False,False,False,False,Normal,IDLE,0.28813520170841217,0.8592996870068431,0.6080167427378247,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:22,30.11,29.61,90.63,4095,4095,Dry,Dry,False,5.983,6.046,5.753,Normal,False,False,False,False,Normal,IDLE,-1.2185286963774087,0.6029576036212927,0.9408501354883445,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:24,30.06,29.56,92.01,3000,3000,Wet,Wet,False,2.654,3.388,3.108,Normal,False,False,False,False,Normal,IDLE,-0.601957360261495,0.8368740796956914,0.49137874358638356,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:26,30.78,30.28,90.28,4095,4095,Dry,Dry,False,3.828,3.907,3.946,Normal,False,False,False,False,Normal,IDLE,1.3463411714983493,1.1908183972539752,0.7984547946862326,Unsafe
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:28,30.43,29.93,89.04,4095,4095,Dry,Dry,False,4.444,5.369,4.383,Normal,False,False,False,False,Normal,IDLE,-0.3032461169458568,-0.5297895731083244,0.5292359252692015,Warning
ESP32_BAG_01,RIDE_001,2025-01-01 08:01:30,30.44,29.94,89.69,4095,4095,Dry,Dry,False,5.828,5.053,5.444,Normal,False,False,False,False,Normal,IDLE,1.4245835505161784,0.1262398941717925,0.9717398679701248,Unsafe
