trend_id,trend_name,trend_category,trend_score,week,year,emerging_designers,trend_tags,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score
1.0,pastel,category trend,3.762968761,1.0,2024.0,designer_4,"leather, bold colors, cotton",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
2.0,oversized,,4.190456688,1.0,2024.0,"designer_38, designer_18, designer_27","minimalist, velvet, y2k",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
3.0,y2k,category trend,0.50408945,1.0,2024.0,designer_22,"velvet, modal, earth tones",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
4.0,monochrome,fabric trend,3.461025109,2.0,2024.0,"designer_42, designer_48, designer_2","stripes, pastel, bold colors",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
5.0,modal,fabric trend,0.788348719,2.0,2024.0,"designer_24, designer_3, designer_38","velvet, bamboo, y2k",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
6.0,stripes,style trend,2.743518427,2.0,2024.0,designer_31,"bold colors, bamboo, leather",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
7.0,cotton,color trend,1.282403822,2.0,2024.0,designer_6,"monochrome, minimalist, earth tones",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
8.0,pastel,seasonal trend,2.216640303,3.0,2024.0,designer_1,"velvet, modal, pastel",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
9.0,monochrome,fabric trend,1.631904676,3.0,2024.0,"designer_11, designer_29, designer_34","oversized, earth tones, leather",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
10.0,vintage,seasonal trend,2.511525014,3.0,2024.0,"designer_31, designer_27","leather, modal, monochrome",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
11.0,leather,style trend,0.953193111,3.0,2024.0,"designer_5, designer_26, designer_4","earth tones, y2k, minimalist",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
12.0,monochrome,style trend,1.497851992,4.0,2024.0,designer_37,"earth tones, eco-friendly, vintage",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
13.0,y2k,seasonal trend,4.670129373,4.0,2024.0,designer_11,"stripes, vintage, modal",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
14.0,bold colors,style trend,1.676184822,4.0,2024.0,"designer_42, designer_24","velvet, leather, earth tones",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
15.0,bold colors,category trend,,4.0,2024.0,"designer_35, designer_31","bold colors, cotton, eco-friendly",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
16.0,stripes,color trend,3.731593452,4.0,2024.0,"designer_7, designer_17","pastel, vintage, monochrome",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
17.0,minimalist,seasonal trend,2.892223092,4.0,2024.0,designer_39,"pastel, leather, stripes",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
18.0,bamboo,style trend,0.554726543,4.0,2024.0,designer_10,"bamboo, monochrome, vintage",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
19.0,stripes,style trend,4.555040353,5.0,2024.0,,"stripes, bold colors, modal",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
20.0,bold colors,,0.655474016,5.0,,designer_11,"monochrome, minimalist, y2k",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
21.0,minimalist,seasonal trend,3.863043538,5.0,2024.0,"designer_6, designer_5","y2k, monochrome, minimalist",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
22.0,velvet,color trend,2.515127961,6.0,2024.0,designer_49,"earth tones, y2k, pastel",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
23.0,modal,style trend,4.417771285,6.0,,designer_23,"y2k, velvet, cotton",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
24.0,modal,style trend,1.281251732,6.0,2024.0,"designer_24, designer_27","pastel, modal, earth tones",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
25.0,minimalist,style trend,4.836301747,6.0,2024.0,"designer_34, designer_47","velvet, earth tones, minimalist",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
,velvet,style trend,0.812790128,6.0,2024.0,designer_37,"bold colors, velvet, vintage",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
27.0,bold colors,seasonal trend,4.993435265,6.0,2024.0,designer_27,"vintage, oversized, modal",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
28.0,bamboo,style trend,3.351159697,6.0,2024.0,"designer_17, designer_3, designer_7","bamboo, pastel, oversized",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
29.0,y2k,seasonal trend,3.527876893,7.0,2024.0,"designer_1, designer_34, designer_23","monochrome, y2k, eco-friendly",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
30.0,bold colors,category trend,4.961005854,7.0,2024.0,designer_39,"vintage, y2k, monochrome",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28,2026-03-09T22:55:39.791799,98
